CAMPAÑA,PROVINCIA,MUNICIPIO,CODPARCELA,_05_Comarca,_07_Zona_homogénea,_01_Superf_cultivada_en_la_Parcela_Agrícola_ha_,_02_Pendiente_,_03_Textura_del_Suelo,_04_Secano_Regadío,_08_Utilización_de_cubierta_vegetal,_01_Variedad,_02_Clon,_04_Patrón,_06_Formas_de_Poda,_07_Marco_m_x_m_,_08_Densidad_Plantas_ha_,_09_Sistemas_de_Conducción
2017,Córdoba,Puente Genil,007-00158-01,CAMPIÑA ALTA - II,,"1,43",0,Arenoso,Regadio,No,Pedro Ximenez,,110 Richter,Cabeza,"1,8 X 1.8",2700,Sin  apoyos
2017,Córdoba,Puente Genil,022-00141-01,CAMPIÑA ALTA - II,,,,,Regadio,,Tempranillo,,,Cordón doble,,,Espaldera vertical
2017,Córdoba,Santaella,ECB SANT,CAMPIÑA BAJA,SIN DEFINIR,0.58,0.,SIN DEFINIR,Secano,NO,Pedro Ximenez,,SIN DEFINIR,,,0.00,
2017,Huelva,Almonte,012-00085-01,CONDADO LITORAL,,,0,,,No,Zalema,,,,,,
2017,Huelva,Almonte,023-00091-01,CONDADO LITORAL,,,,,,,Zalema,,,,,,
2017,Huelva,Almonte,038-00145-02,CONDADO LITORAL,HU/VD/02,"0,957",2,,,No,Zalema,,110 Richter,,"1,5 x 1,5",2500,
2017,Huelva,Rociana del Condado,002-00027-02,CONDADO CAMPIÑA,HU/VD/02,"1,85",4,Arcillo-arenoso,Secano,No,Zalema,,110 Richter,Espaldera,"3 x 1,5",2222,
2017,Huelva,Rociana del Condado,005-00312-01,CONDADO CAMPIÑA,HU/VD/02,"2,908",2,,,No,Zalema,,110 Richter,,1.50 X 1.50,2250,
2017,Huelva,Rociana del Condado,007-00929-01,CONDADO CAMPIÑA,,,,,,,Zalema,,,,,,
2017,Huelva,Trigueros,016-00088-01,CONDADO CAMPIÑA,,,,,,,,,,,,,
2017,Málaga,Almachar,001-00220-02-01,VELEZ-MALAGA,,"0,19",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2017,Málaga,Almachar,005-00455-01-01,VELEZ-MALAGA,,"0,26",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2017,Málaga,Almachar,005-00715-01-01,VELEZ-MALAGA,,"1,2",,,Secano,Si,Moscatel de Alejandría,,,,,,Cabeza o vaso
2017,Málaga,Almachar,005-00715-01-02,VELEZ-MALAGA,,"1,1",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2017,Málaga,Borge (El),003-00171-01-01,VELEZ-MALAGA,,"1,29",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2017,Málaga,Borge (El),005-00196-01-01,VELEZ-MALAGA,,"0,18",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2017,Málaga,Borge (El),005-00399-03-01,VELEZ-MALAGA,,"0,16",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2017,Málaga,Borge (El),007-00045-02-01,VELEZ-MALAGA,,"0,41",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2017,Málaga,Mollina,047-00002-03-01,NORTE O ANTEQUERA,,"1,66",0,,Secano,No,Pedro Ximenez,,,,,,Espaldera vertical
2018,Cádiz,Chipiona,007-00035-00,COSTA NOROESTE DE CADIZ - II,,"27,72",,Arcillo-limoso,Secano,,Moscatel de Chipiona,,,Cordón doble,"2,10 x 1,20 m",,
2018,Cádiz,Chipiona,007-00035-01,COSTA NOROESTE DE CADIZ - II,,"35,728",,Arcillo-limoso,Secano,,Pedro Ximenez,,,Cordón doble,"2,20 X 1.15",,
2018,Cádiz,Chipiona,007-00035-02,COSTA NOROESTE DE CADIZ - II,,6,,Arcillo-limoso,Secano,,Palomino Fino,,,Cordón doble,"2,20 X 1.15",,Espaldera vertical
2018,Cádiz,Jerez de la Frontera,003-00106-29,CAMPIÑA DE CADIZ,CA/VD/03,"55,9125",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,,2.35 x 1.15,3700,Espaldera vertical
